timestep,success_rate,mean_reward,mean_ep_length
2048,0.0000,-122.3795,200.0
4096,0.0000,-143.5626,200.0
6144,0.0323,-133.6406,196.3
8192,0.0244,-124.9526,197.2
10240,0.0196,-129.0227,197.8
12288,0.0161,-125.4700,198.2
14336,0.0139,-121.3767,198.4
16384,0.0122,-118.3906,198.6
18432,0.0109,-115.3551,198.8
20480,0.0100,-111.9958,198.9
22528,0.0200,-107.8616,197.2
24576,0.0300,-100.3823,195.3
26624,0.0200,-101.4868,196.4
28672,0.0300,-99.1127,195.7
30720,0.0300,-95.9572,195.7
32768,0.0300,-96.9538,195.7
34816,0.0300,-100.2218,195.7
36864,0.0400,-100.1422,194.5
38912,0.0500,-102.4151,194.1
40960,0.0500,-102.9581,194.1
43008,0.0500,-104.3477,194.5
45056,0.0500,-104.4704,196.0
47104,0.0400,-106.5233,196.7
49152,0.0500,-109.5964,196.1
51200,0.0600,-109.5249,194.1
53248,0.0800,-108.0234,191.0
55296,0.0700,-110.7488,192.2
57344,0.0600,-112.6660,192.6
59392,0.0600,-116.1095,192.6
61440,0.0600,-118.1507,192.6
63488,0.0500,-121.0127,193.8
65536,0.0400,-121.1369,194.3
67584,0.0400,-118.5935,193.6
69632,0.0400,-118.6658,193.6
71680,0.0200,-119.9806,197.3
73728,0.0100,-121.1895,198.6
75776,0.0100,-120.9429,198.6
77824,0.0100,-118.6122,198.6
79872,0.0100,-116.6842,198.6
81920,0.0100,-114.2638,198.6
83968,0.0100,-112.7388,198.6
86016,0.0100,-112.2629,198.6
88064,0.0000,-112.5885,200.0
90112,0.0100,-111.5199,198.3
92160,0.0200,-106.9606,196.3
94208,0.0200,-105.6342,196.3
96256,0.0200,-104.3917,196.3
98304,0.0200,-104.1394,196.3
100352,0.0300,-102.9988,195.3
102400,0.0300,-101.9637,195.3
104448,0.0300,-102.2671,195.3
106496,0.0400,-99.3069,193.9
108544,0.0500,-99.7058,193.7
110592,0.0300,-99.9552,197.4
112640,0.0300,-98.3330,197.4
114688,0.0300,-96.3862,197.4
116736,0.0400,-93.2475,196.0
118784,0.0400,-93.2537,196.8
120832,0.0500,-90.4183,195.8
122880,0.0700,-87.4191,193.2
124928,0.0800,-86.1804,192.2
126976,0.0900,-83.5623,192.2
129024,0.0800,-83.5451,192.4
131072,0.0800,-83.0859,192.4
133120,0.0800,-82.6334,192.4
135168,0.0800,-83.8348,192.4
137216,0.0700,-84.6322,193.6
139264,0.0700,-82.4021,193.6
141312,0.0600,-83.4743,194.6
143360,0.0400,-85.3340,196.9
145408,0.0300,-84.9981,197.8
147456,0.0400,-83.8169,197.5
149504,0.0500,-84.4625,197.2
151552,0.0600,-82.4923,196.8
153600,0.0600,-83.2386,196.8
155648,0.0600,-81.1017,196.8
157696,0.0500,-82.5744,197.2
159744,0.0800,-81.5269,193.4
161792,0.0800,-79.8325,193.4
163840,0.0700,-80.3280,195.1
165888,0.0800,-80.5711,193.5
167936,0.0600,-80.1670,192.6
169984,0.0500,-79.3132,193.0
172032,0.0900,-77.1041,190.4
174080,0.1100,-76.0847,187.6
176128,0.1100,-75.3023,187.6
178176,0.0800,-76.8624,191.4
180224,0.0800,-80.2929,191.4
182272,0.1100,-80.2490,187.3
184320,0.1300,-80.3897,184.9
186368,0.1200,-82.5718,186.5
